feature
"[-82.12359, 139.50592, -42.430866, 24.82786, -11.620764, 23.497084, -12.19459, 25.897139, -9.405277, 21.21043, -7.3688216, 14.254338, -8.6786995, 7.750238, -10.124115, 3.258119, -11.352619, 2.8009686, -7.0460143, 3.9133139, -2.3349745, 2.0124226, -2.793944, 4.1292744, -1.6207688, 4.3262014, -1.0344098, -1.2329768, -3.1108537, 0.3204486, -1.7877867, 0.44295514, -1.7916476, -0.76361805, -1.2424644, -0.27664033, 0.6571852, -0.5023714, -2.6042857, -1.053462]"
"[-15.744005, 124.119965, -29.42888, 39.447193, -23.501913, 16.550816, -21.736818, 16.533573, -16.971731, 4.4835835, -17.38769, 0.7371223, -16.289228, 5.112149, -10.559232, 2.9178739, -10.390848, 0.6513002, -10.046337, -1.78348, -6.099714, 5.629786, -4.651114, -1.3691924, -8.249166, -2.3619273, -4.796206, -0.5025695, -5.4106755, 2.0780442, 7.1860027, 8.185747, 0.7673608, 0.32726124, -2.2136655, -3.106838, -5.7238493, 0.8237056, 1.7193218, -0.33146164]"
"[-123.393654, 15.181949, -50.09333, 7.1418724, -26.817034, -0.6925033, -8.223075, 13.512939, -11.382056, 19.949352, -11.193459, 9.592905, -8.269169, 4.591708, -4.1160936, -0.12660994, -9.266361, 12.86465, -6.7681313, 0.17970629, -5.586145, 6.8240633, -7.4434237, 6.7138557, 0.8869609, 7.952473, -7.8040466, 4.751357, -5.9170437, -0.51082873, -2.8931222, 3.752504, -4.37565, 5.624626, -4.8708267, 1.8876832, -3.8860335, 1.5743902, -3.9967422, 3.2457495]"
"[-213.278809, 89.3235855, -55.2561874, 12.6320972, -47.7753754, 14.7029076, 19.039341, 15.9744005, -0.344621599, -3.85278606, -5.7135191, 14.5023794, 7.35625219, 2.77150917, -12.1664124, -7.54264402, -1.07718146, -8.32686806, 11.3106937, 13.0546398, -12.4408588, -17.7511101, 0.0521531291, 2.10836506, 5.2387228, 9.59365463, -3.76473379, -2.26955795, -6.74119186, -8.63759041, 12.0566435, -4.8782382, -5.16628599, 1.11927676, -2.28136849, 5.8295083, 1.19403517, 7.46546888, -1.78587842, -15.0114565]"
"[-237.926483, 135.902451, 39.2684402, 21.2402363, 9.53132725, 13.8851185, -3.99444604, 12.4814844, -2.60462689, 6.07091522, 2.23836708, 4.17497253, -1.90301299, 2.30779433, -2.66079974, -0.664914787, 4.49824381, 3.77204347, 3.37126422, 1.59958649, -0.534918785, -0.19514069, 0.627361298, 3.20973372, 1.33894145, 0.104330473, 0.907274306, -2.27093887, -0.529898107, 0.200067535, 0.541832447, -0.301083118, 0.531195939, -0.516149342, 1.73844695, 1.10963643, 2.75794029, 2.15940213, 0.626567125, 0.692018032]"
"[-250.35834, 128.01357, -47.575787, 25.628069, -26.70792, 13.660259, -4.0266232, 5.164237, 7.8053665, 10.534707, -6.276586, 3.0622876, 1.346355, 10.927397, -1.8723357, 11.119978, -1.5588439, 1.3370548, -6.041244, 0.2836957, -0.46846193, 3.074427, 1.7389195, 2.6016111, 0.42318654, 3.5061572, 0.5752815, -0.805175, -0.8749998, -0.76999986, -1.0630283, -2.6025915, -0.2629138, -1.3103534, -3.686214, -2.6783328, -1.2609502, -4.8175926, -3.705896, -3.604831]"
"[-203.97552, 83.95814, -66.73028, 18.536459, -20.581497, 1.9062059, -6.1212144, 15.719913, -6.9354014, 11.426916, -5.8307204, 6.4777813, -3.897225, 11.948622, -9.477357, 14.071952, -3.1041236, 5.2037272, -3.4652367, -0.45673773, 2.21404, 3.3579278, -6.852989, 3.8733823, -6.741399, 3.9307342, 2.3199685, 2.2980084, 1.6241996, -5.634475, 0.22213475, 4.3397236, -5.693467, 4.0492463, 0.564953, -0.20875378, 2.3246622, -7.4189296, 1.897043, 3.5763376]"
"[-55.400555, 22.767319, -46.079865, 8.980095, -29.80627, 22.077938, -22.545788, 0.8512561, -23.257723, -1.9646852, -23.24148, 3.348349, -18.35755, -0.7906075, -8.003728, 3.5172014, -6.015965, 9.502482, -2.9558518, 14.921329, 1.5219979, 8.875393, -2.5925345, 1.7239796, -1.5193202, 5.242552, -3.1275246, -0.8057578, -6.639179, -0.2378234, -3.2971685, -0.43081254, -9.624969, -2.0571575, -3.0858796, 5.3102856, -1.325025, 3.7609487, 4.7755613, 6.379787]"
"[-110.22915, 91.258995, -137.43895, 57.104736, -42.575893, 18.365829, -31.951092, 8.0531979, -16.543415, -3.2698178, -14.399264, 2.5386631, -2.0901535, 2.5881824, 2.1704962, 2.4819708, 0.41965067, -3.3681443, 3.1450624, -4.7667189, 5.1513, -6.3096123, 6.5105028, -0.91636014, 1.5809951, 0.48622772, 0.91396797, 0.67175829, -0.26086381, 1.1030152, -1.3593847, 4.2498546, -3.769599, 3.4218278, -2.5768158, 3.2385287, -2.0077348, 1.9452581, 0.18576287, 0.061090089]"
"[-337.76004, 140.77518, -15.511056, 17.61511, 8.2206554, 14.850394, -12.830464, 17.522957, -12.018428, 5.557879, -14.806482, 2.9946525, -12.039109, 5.2385726, -1.5709156, 18.816, 3.6932268, 8.5237312, -6.9725933, -0.74070746, -8.901391, 2.9188483, -2.2483754, 0.35982078, -5.3780551, -1.5482922, -4.0267172, -0.63309926, -4.7789874, -0.40437245, -0.28043097, 3.7080522, 1.2759062, 1.3834413, -2.2710934, -2.1470592, -1.6477245, 0.036808785, -1.962741, -0.69424206]"
